Time,2013,2014,2015,2016,2017,2018,2019,2020
América-mg,5028,5386,5322,5202,6042,6255,7522,6798
América-rn,3708,3944,5792,5304,4397,3216,2201,1488
Athlético-pr,11078,12952,12524,11218,11012,11718,11380,13466
Atlético-go,8754,7692,6628,5386,5443,6698,6136,5834
Atlético-mg,11520,11228,13224,13244,14312,14312,13352,13096
Avaí,8272,7136,6364,6386,5894,6429,6394,6675
Bahia,9282,9406,9300,8054,6698,6647,8862,10719
Barueri,5504,4287,3045,1701,789,337,101,25
Botafogo-rj,10622,11764,12332,10932,10936,11958,10619,9640
Brasiliense,3680,2880,2206,1308,688,302,479,638
Bragantino,3968,4054,4880,4984,5020,4113,3550,4145
Ceará,8088,7234,7040,6592,5904,5553,6274,6751
Chapecoense,2754,3557,5150,6336,7596,9010,10706,10142
Corinthians,15624,15048,14680,14664,14328,14076,14208,13084
Coritiba,12804,11572,11036,10686,9414,8423,7044,5958
Criciúma,4370,5818,6495,6388,5788,5164,4521,4218
Cruzeiro,13096,13512,15328,14064,14202,15288,15822,15118
Csa,1115,1015,686,458,692,1521,2850,4500
Figueirense,6464,6248,6898,9012,9002,7555,6392,5178
Flamengo,14352,14776,14578,13288,11952,12796,13850,15428
Fluminense,16208,14424,12708,12682,11668,10926,10034,9938
Fortaleza,4442,4048,3296,3080,3644,3289,4222,6585
Goiás,9896,11526,10525,9818,7856,6432,6168,6703
Grêmio,14460,15286,13992,14210,15038,15092,14936,15160
Guarani,6006,4781,3631,2649,2359,2617,3107,3477
Internacional,14360,13936,12628,13000,13126,11368,10902,12204
Ipatinga,4164,3616,2663,1640,837,284,51,25
Joinville,2370,3438,4699,5695,5409,4805,3758,2565
Juventude,2666,1887,1722,1769,3910,4251,4327,4763
Náutico,8036,7557,6470,6139,5401,4532,4063,3748
Palmeiras,14256,12680,11584,13056,14720,15288,16914,16640
Paraná,5924,5393,5090,4676,4446,5244,5903,5594
Paysandu,3740,4292,4324,5268,5340,5868,5239,5166
Ponte preta,7600,7952,7440,8080,9076,8429,8052,6694
Portuguesa,7840,7689,6497,5095,3887,489,1395,734
Santa cruz,2704,3091,3930,4310,5730,6210,5061,4378
Santo andré,3712,2832,1624,989,428,258,110,70
Santos,13736,12980,13530,13936,14574,14884,14682,13944
Sport,8284,6740,6970,7928,8019,8770,8450,7237
São caetano,4288,3817,3106,2324,1384,680,327,384
São paulo,14786,13712,12738,13374,12430,11098,10508,10526
Vasco,15030,14426,12132,11928,10040,9322,9360,9242
Vitória,9900,9468,8441,7166,7547,7690,8329,7045
